where	who	kind	form	gloss
(1)	Margaret Siwallace	transcription	way ʔalac’i-c˽suc’ x˽ti˽ƛ’χʷcaytχʷ-ɬ˽c’	
(1)	Hank Nater	gloss	well tell.story-1SG˽CL PREP˽ART˽Kitlope-from˽CL	
(1)	Margaret Siwallace	transcription	ti˽sʔalac’i˽t’ayx	
(1)	Hank Nater	gloss	ART˽story˽DEM	
(1)	Hank Nater	translation	‘Well, I’ll tell you another story now, this story from Kitlope.’	
(2)	Margaret Siwallace	transcription	ʔal˽a˽ʔayk’ ʔaɬ˽ƛ’χʷcaytχʷ	
(2)	Hank Nater	gloss	PREP˽ART˽old PREP˽Kitlope	
(2)	Margaret Siwallace	transcription	s-sm:sma-y-amk-im˽kʷk’ʷu ʔac	
(2)	Hank Nater	gloss	CONN-tell.parable.REP-APP-PASS.3SG˽CL DEM	
(2)	Hank Nater	translation	‘Long ago, such legends were often told in Kitlope.’	
(3)	Margaret Siwallace	transcription	tix-s˽c’ ta˽kʷukʷpi-ɬ-c˽tχ	
(3)	Hank Nater	gloss	be.him-3SG˽CL ART˽grandfather-late-1SG˽ART	
(3)	Margaret Siwallace	transcription	ti˽sm:sma-y-amk˽t’ayx ʔuɬ˽ʔnc	
(3)	Hank Nater	gloss	ART˽tell.parable.REP-APP˽DEM PREP˽me	
(3)	Margaret Siwallace	transcription	ʔal˽a˽pacaɬ-iɬ˽ck ʔaɬ˽ƛ’χʷcaytχʷ	
(3)	Hank Nater	gloss	PREP˽ART˽first-1PL˽CL PREP˽Kitlope	
(3)	Hank Nater	translation	‘It is my grandfather who told me stories that we inherited from our Kitlope ancestors.’	
(4)	Margaret Siwallace	transcription	ʔal˽a˽ʔayk’˽kʷ s-qʷlχʷuɬ-cut-aw wa˽xnas-uks	
(4)	Hank Nater	gloss	PREP˽ART˽old˽CL CONN-engage-REFL-3PL ART˽woman-PL	
(4)	Margaret Siwallace	transcription	s-ka˽ƛ’ap-aw s-ka˽ɬq’ʷm-aw x˽a˽ʔilk	
(4)	Hank Nater	gloss	CONN-HYP˽go-3PL CONN-HYP˽dig-3PL PREP˽ART˽wild.rice	
(4)	Margaret Siwallace	transcription	ʔul˽a˽ʔumat-aw s-ɬq’ʷm-aw	
(4)	Hank Nater	gloss	PREP˽ART˽destination-3PL CONN-dig-3PL	
(4)	Margaret Siwallace	transcription	x˽a˽ʔilk	
(4)	Hank Nater	gloss	PREP˽ART˽wild.rice	
(4)	Hank Nater	translation	‘A long time ago, a number of women decided to go digging for wild rice, and they went to a place where they dug for wild rice.’	
(5)	Margaret Siwallace	transcription	ʔaɬʔnayx-s˽kʷc’ ʔiɬ˽mnamim˽ʔiɬ ʔal˽a˽ɬq’ʷm˽ʔac	
(5)	Hank Nater	gloss	accepted -3SG˽CL ART˽chief’s.daughter˽ART PREP˽ART˽dig˽DEM	
(5)	Hank Nater	translation	‘And the chief’s daughter went along with these diggers.’	
(6)	Margaret Siwallace	transcription	ɬq’ʷm-s˽kʷ ʔiɬaʔiɬ	
(6)	Hank Nater	gloss	dig-3sg˽CL DEM	
(6)	Hank Nater	translation	‘And she started digging.’	
(7)	Margaret Siwallace	transcription	ƛ’ap-s˽kʷ s-ka˽ɬq’ʷ-aynix-i-s ti˽mack’ʷ	
(7)	Hank Nater	gloss	go-3SG˽CL CONN-HYP˽dig-ACC-3SG.OBJ-3SG.SUB ART˽frog	
(7)	Hank Nater	translation	‘And she unintentionally proceeded to dig up a frog.’	
(8)	Margaret Siwallace	transcription	tayamk-i-s ta˽mack’ʷ˽tχ	
(8)	Hank Nater	gloss	discard-3SG.OBJ-3SG.SUB ART˽frog˽ART	
(8)	Hank Nater	translation	‘She threw away the frog.’	
(9)	Margaret Siwallace	transcription	sx-uu:xʷc-m-i-s˽kʷ ta˽mack’ʷ˽tχ	
(9)	Hank Nater	gloss	bad-mouth.REP-APP-3SG.OBJ-3SG.SUB˽CL ART˽frog˽ART	
(9)	Margaret Siwallace	transcription	s-tayamk-i-s	
(9)	Hank Nater	gloss	CONN-discard-3SG.OBJ-3SG.SUB	
(9)	Hank Nater	translation	‘She was swearing at the frog as she threw it away.’	
(10)	Margaret Siwallace	transcription	ʔaɬ-ʔay˽kʷʔiluc’ik c’ayx x˽ci˽ʔaɬ-ʔawɬ-im˽cx	
(10)	Hank Nater	gloss	PRG-be.thus˽CL DEM PREP˽ART˽PRG-follow-3SG.PASS˽ART	
(10)	Margaret Siwallace	transcription	x˽ta˽mack’ʷ˽tχ s-ɬq’ʷ-aynix-i-s˽kʷtuc’	
(10)	Hank Nater	gloss	PREP˽ART˽frog˽ART CONN-dig-ACC-3SG.OBJ-3SG.SUB˽CL	
(10)	Hank Nater	translation	‘But she seemed to be followed constantly by the frog, as she kept digging it up.’	
(11)	Margaret Siwallace	transcription	ʔaɬ-ʔay-uc-m-i-s˽kʷtuc’	
(11)	Hank Nater	gloss	PRG-be.thus-mouth-APP-3SG.OBJ-3SG.SUB˽CL	
(11)	Hank Nater	translation	‘And she kept talking to it like that, over and over.’	
(12)	Margaret Siwallace	transcription	ta:tyamk-i-s	
(12)	Hank Nater	gloss	discard.REP-3SG.OBJ-3SG.SUB	
(12)	Margaret Siwallace	transcription	s-ʔix-sx-uu:xʷc-m-i-s	
(12)	Hank Nater	gloss	CONN-INT-bad-mouth.REP-APP-3SG.OBJ-3SG.SUB	
(12)	Hank Nater	translation	‘She kept throwing it away and swearing at it.’	
(13)	Margaret Siwallace	transcription	ʔux-uq’χ-tmaxʷ-a˽kʷʔic’ik tu˽xnas-uks˽tχʷ	
(13)	Hank Nater	gloss	INT-call-RECIP-3PL˽CL ART˽woman-PL˽ART	
(13)	Margaret Siwallace	transcription	s-c’usm-s˽c’ ʔal˽a˽ʔac	
(13)	Hank Nater	gloss	CONN-dusk-3SG˽CL PREP˽ART˽DEM	
(13)	Hank Nater	translation	‘Then the women called each other as dusk had arrived.’	
(14)	Margaret Siwallace	transcription	ƛ’ap-s˽c’ s-ka˽kɬ-s ta˽snχ˽tχ	
(14)	Hank Nater	gloss	start-3SG˽CL CONN-HYP˽fall-3SG ART˽sun˽ART	
(14)	Hank Nater	translation	‘Now the sun began to set.’	
(15)	Margaret Siwallace	transcription	ʔux-uq’χ-tmaxʷ-aw˽c’ s-ka˽lip’cut-aw ʔuɬ˽ta˽suɬ˽tχ	
(15)	Hank Nater	gloss	INT-call-RECIP-3PL˽CL CONN-HYP˽return-3PL PREP˽ART˽village˽ART	
(15)	Hank Nater	translation	‘They called each other and started going back to the village.’	
(16)	Margaret Siwallace	transcription	k’x-i-s˽kʷc’ c’ayx ti˽ya:yaasii ti˽caacti	
(16)	Hank Nater	gloss	see-3SG.OBJ-3SG.SUB˽CL DEM ART˽handsome ART˽young	
(16)	Margaret Siwallace	transcription	s-ya:ya-liwa-s˽kʷtuu ti˽caacti˽t’ayx	
(16)	Hank Nater	gloss	CONN-good-…like-3SG˽CL ART˽young˽DEM	
(16)	Hank Nater	translation	‘Then the girl saw this handsome young man, a well-built young man.’	
(17)	Margaret Siwallace	transcription	ʔay-uc˽kʷc’ t’ayx s-ka˽ʔaɬ-kʷn-i-s	
(17)	Hank Nater	gloss	be.thus-mouth˽CL DEM CONN-HYP-PRG-take-3SG.OBJ-3SG.SUB	
(17)	Margaret Siwallace	transcription	s-ka˽kaw-aɬ-i-s ʔuɬ˽tu˽suɬ-s˽tχʷ	
(17)	Hank Nater	gloss	CONN-HYP˽deliver-foot-3SG.OBJ-3SG.SUB PREP˽ART˽home-3sg˽ART	
(17)	Hank Nater	translation	‘He said to her that he would take her, that he would walk her home.’	
(18)	Margaret Siwallace	transcription	k’iɬ-txʷumat-tu-m˽kʷmakʷuc’ c’ayx x˽ta˽mack’ʷ	
(18)	Hank Nater	gloss	without-direction-CAUS-3SG.PASS˽CL DEM PREP˽ART˽frog	
(18)	Margaret Siwallace	transcription	ta˽caacti˽tχ	
(18)	Hank Nater	gloss	ART˽young˽ART	
(18)	Hank Nater	translation	‘Then she was made to lose her way by the young man who was a frog.’	
(19)	Margaret Siwallace	transcription	tix˽kʷmakʷuc’ ta˽ʔix-ta:tyamk-i-s ta˽mack’ʷ˽tχ	
(19)	Hank Nater	gloss	be.him˽CL ART˽INT-discard.REP-3SG.OBJ-3SG.SUB ART˽frog˽ART	
(19)	Margaret Siwallace	transcription	ta˽caacti˽tχ s-ƛ’mstn-am-timut-s	
(19)	Hank Nater	gloss	ART˽young˽ART CONN-person-become-CAUS.REFL-3SG	
(19)	Margaret Siwallace	transcription	ʔuɬ˽ʔiɬ	
(19)	Hank Nater	gloss	PREP˽DEM	
(19)	Hank Nater	translation	‘It was the frog that she had been casting aside who had become a young man to her.’	
(20)	Margaret Siwallace	transcription	ʔaɬ-kʷn-i-s˽c’ ʔuɬ˽ta˽suɬ-s˽tχ,	
(20)	Hank Nater	gloss	PRG-take-3SG.OBJ-3SG.SUB˽CL PREP˽ART˽village-3sg˽ART	
(20)	Margaret Siwallace	transcription	ʔuɬ˽ta˽ʔamat-s˽tχ s-ʔapsuɬ-s ti˽mack’ʷ-mx	
(20)	Hank Nater	gloss	PREP˽ART˽location-3SG˽ART CONN-dwell-3SG ART˽frog-clan	
(20)	Margaret Siwallace	transcription	ʔaɬ˽ƛ’χʷcaytχʷ	
(20)	Hank Nater	gloss	PREP˽Kitlope	
(20)	Hank Nater	translation	‘He now took her to his home, to the place where the Frog Clan resides at Kitlope’.	
(21)	Margaret Siwallace	transcription	talaws˽c’ ʔuɬ˽ʔiɬ	
(21)	Hank Nater	gloss	marry˽CL PREP˽DEM	
(21)	Hank Nater	translation	‘Now he married her.’	
(22)	Margaret Siwallace	transcription	xɬ-mna-lx-s˽kʷc’ ʔiɬ˽caacti˽ʔiɬ x˽a˽ɬnús	
(22)	Hank Nater	gloss	have-child-INCH-3SG˽CL ART˽young˽ART PREP˽ART˽two	
(22)	Margaret Siwallace	transcription	wa˽mn:mnnck’ʷ-i	
(22)	Hank Nater	gloss	ART˽frog-DIM	
(22)	Hank Nater	translation	‘Then the young woman had two frog babies.’	
(23)	Margaret Siwallace	transcription	ʔalac’i-tu-ti-s˽kʷʔitk’ʷuk way tu˽mn:mnc-s˽tχʷ	
(23)	Hank Nater	gloss	tell-BEN-3PL.OBJ-3SG.SUB˽CL well ART˽children-3SG˽ART	
(23)	Hank Nater	translation	‘Well, she told her children:’	
(24)	Margaret Siwallace	transcription	“ɬay t’aχʷ wa˽suɬ-s ta˽man-ɬ-c, ɬay t’aχʷ”	
(24)	Hank Nater	gloss	“far DEM ART˽house-3SG ART˽father-SEP-1SG far DEM	
(24)	Hank Nater	translation	“Way over yonder is my father’s house, way over yonder.”	
(25)	Margaret Siwallace	transcription	“ɬnús wa˽ʔasqayaɬ˽c ʔal˽a˽ʔasuuc˽c”	
(25)	Hank Nater	gloss	two ART˽totem.pole˽ART PREP˽ART˽front of house˽ART	
(25)	Hank Nater	translation	“There are two totem poles in front.”	
(26)	Margaret Siwallace	transcription	“q’lum-ap˽ʔic’ik ʔaɬ˽ti˽mn:mnnta˽tx ka˽ƛ’ap-ap s-ka˽ʔanayk-ap	
(26)	Hank Nater	gloss	climb-2PL˽CL PREP˽ART˽steps˽ART HYP˽go-2PL CONN-HYP˽want-2PL	
(26)	Margaret Siwallace	transcription	s-ka˽k’x-i-p ta˽kʷukʷpi-ɬ-ap,	
(26)	Hank Nater	gloss	CONN-HYP˽see-3SG.OBJ-2PL.SUB ART˽grandfather-SEP-2PL	
(26)	Margaret Siwallace	transcription	ta˽man-ɬ-c ʔn ɬa˽stan-ɬ-c”	
(26)	Hank Nater	gloss	ART˽father-SEP-1SG and ART˽mother-SEP-1SG	
(26)	Hank Nater	translation	“Climb the steps if you go and want to see your grandfather, my father and mother.”	
(27)	Margaret Siwallace	transcription	cu:cut-s˽kʷtuu c’ayx ʔaɬ˽tχʷ	
(27)	Hank Nater	gloss	say.REP-3SG˽CL DEM PREP˽DEM	
(27)	Hank Nater	translation	‘She told them this repeatedly.’	
(28)	Margaret Siwallace	transcription	ʔay-na˽kʷʔiluc’ik tu˽mn:mnnck’ʷ-i˽tχʷ s-ka˽ƛ’ap-aw	
(28)	Hank Nater	gloss	be.thus-3PL˽CL ART˽frog-DIM˽ART CONN-HYP˽go-3PL	
(28)	Hank Nater	translation	‘And the frog children did go on their way now.’	
(29)	Margaret Siwallace	transcription	k’x-i-t˽kʷalu ta˽kʷukʷpi-naw˽tχ	
(29)	Hank Nater	gloss	see-3SG.OBJ-3PL.SUB˽CL ART˽grandfather-3PL˽ART	
(29)	Hank Nater	translation	‘They tried to see their grandfather.’	
(30)	Margaret Siwallace	transcription	q’lum-a˽kʷaluk’ʷu t’aχʷ ʔaɬ˽ta˽mn:mnnta˽tχ ʔu-ƛ’uk’	
(30)	Hank Nater	gloss	climb-3PL˽CL DEM PREP˽ART˽steps˽ART DIR-high	
(30)	Hank Nater	translation	‘They tried to climb up the steps.’	
(31)	Margaret Siwallace	transcription	c’χɬn-tim˽kʷk’ʷu t’aχʷ	
(31)	Hank Nater	gloss	kick-3PL.PASS˽CL DEM	
(31)	Hank Nater	translation	‘But they were kicked [off the steps] over and over.’	
(32)	Margaret Siwallace	transcription	ʔaɬ:ʔaɬ-ʔay-naw˽tu ʔac	
(32)	Hank Nater	gloss	PRG.REP-be.thus-3PL˽CL DEM	
(32)	Hank Nater	translation	‘This happened to them again and again.’	
(33)	Margaret Siwallace	transcription	“qi:χyu Ø˽mack’ʷ˽ʔac!”	
(33)	Hank Nater	gloss	useless ART˽frog˽ART	
(33)	Hank Nater	translation	“These useless frogs!”	
(34)	Margaret Siwallace	transcription	cu:cut-m-tim˽kʷk’ʷ	
(34)	Hank Nater	gloss	say.REP-APPL-3PL.PASS˽CL	
(34)	Hank Nater	translation	‘That is what they kept saying about them.’	
(35)	Margaret Siwallace	transcription	q’lum-a˽kʷaluk’ʷ	
(35)	Hank Nater	gloss	climb-3PL˽CL	
(35)	Hank Nater	translation	‘But they kept on climbing.’	
(36)	Margaret Siwallace	transcription	ʔay-tu-tim˽kʷk’ʷ	
(36)	Hank Nater	gloss	be.thus-CAUS-3PL.PASS˽CL	
(36)	Hank Nater	translation	‘And they were treated the same way again and again.’	
(37)	Margaret Siwallace	transcription	χapa-ti-s˽kʷaluc’ ta˽q’ʷalm˽tχ	
(37)	Hank Nater	gloss	carry-3SG.OBJ-3SG.SUB˽CL ART˽older.sibling˽ART	
(37)	Margaret Siwallace	transcription	ʔiɬ˽susqʷii-s˽ʔiɬ	
(37)	Hank Nater	gloss	ART˽younger.sibling-3SG˽ART	
(37)	Hank Nater	translation	‘The older brother tried to carry his little sister.’	
(38)	Margaret Siwallace	transcription	ʔaɬ-ʔay-tu-tim˽kʷtuc’ s-c’χɬn-tim	
(38)	Hank Nater	gloss	PRG-be.thus-CAUS-3PL.PASS˽CL CONN-kick-3PL.PASS	
(38)	Margaret Siwallace	transcription	s-ka˽kɬ-tim	
(38)	Hank Nater	gloss	CONN-HYP˽drop-3PL.PASS	
(38)	Hank Nater	translation	‘But again, they were kicked and made to fall [off the steps].’	
(39)	Margaret Siwallace	transcription	ʔin:ʔixaʔii-na˽kʷaluluk’ʷ s-ka˽c’kt-aw	
(39)	Hank Nater	gloss	almost.accomplish.REP-3PL˽CL CONN-HYP˽arrive-3PL	
(39)	Margaret Siwallace	transcription	ʔuɬ˽ta˽kʷuɬiiχʷ˽tχ s-ʔay-tu-tim	
(39)	Hank Nater	gloss	PREP˽ART˽top˽ART CONN-be.thus-CAUS-3PL.PASS	
(39)	Hank Nater	translation	‘And every time they almost reached the top [of the steps], they were treated the same way.’	
(40)	Margaret Siwallace	transcription	lip’cut-lx-a˽kʷ ʔac ʔuɬ˽ʔiɬ˽stan-aw˽ʔiɬ	
(40)	Hank Nater	gloss	return-INCH-3PL˽CL DEM PREP˽ART˽mother-3PL˽ART	
(40)	Hank Nater	translation	‘They had to go back to their mother.’	
(41)	Margaret Siwallace	transcription	ʔalac’-amk-cut-aw s-ʔaɬ-ʔay-s wa˽c’kta-tu-tim	
(41)	Hank Nater	gloss	tell-APP-REFL-3PL CONN-PRG-be.thus-3SG ART˽event-CAUS-3PL.PASS	
(41)	Hank Nater	translation	‘And they described to her what had happened to them.’	
(42)	Margaret Siwallace	transcription	“ʔay ka˽ʔaɬ-kʷn-tuɬap˽ma”	
(42)	Hank Nater	gloss	alright HYP˽PRG-take-1SG.SUB+2PL.OBJ˽CL	
(42)	Hank Nater	translation	“Alright, maybe I should take you to them.”	
(43)	Margaret Siwallace	transcription	cut˽kʷʔic’ik ʔiɬaʔiɬ (ʔiɬ˽)stan-aw˽ʔiɬ	
(43)	Hank Nater	gloss	say˽CL DEM (ART˽)mother-3PL˽ART	
(43)	Hank Nater	translation	‘So she, their mother, spoke.’	
(44)	Margaret Siwallace	transcription	s-ƛ’msta-nalus-am-timut-s˽kʷc’ ʔiɬaʔiɬ	
(44)	Hank Nater	gloss	NOM-person-joined-become-CAUS.REFL-3SG˽CL DEM	
(44)	Hank Nater	translation	‘Then she changed herself into a human being.’	
(45)	Margaret Siwallace	transcription	ʔic’ama-y-anm-s s-ka˽ƛ’ap-s	
(45)	Hank Nater	gloss	blanket-become-3SG CONN-HYP˽go-3SG	
(45)	Margaret Siwallace	transcription	s-ka˽ʔaɬ-kʷn-ti-s	
(45)	Hank Nater	gloss	CONN-HYP-PRG-take-3PL.OBJ-3SG.SUB	
(45)	Hank Nater	translation	‘She wrapped herself in a blanket and carried them with her.’	
(46)	Margaret Siwallace	transcription	c’kt-s˽kʷu ʔuɬ˽ti˽ʔapsuɬ˽t’ayx s-k’x-im˽c’	
(46)	Hank Nater	gloss	arrive-3SG˽CL PREP˽ART˽village˽DEM CONN-see-3SG.PASS˽CL	
(46)	Margaret Siwallace	transcription	s-cix-s ʔiɬ	
(46)	Hank Nater	gloss	CONN-be.her-3SG DEM	
(46)	Hank Nater	translation	‘When she arrived at the village, the people saw that it was her.’	
(47)	Margaret Siwallace	transcription	wa-s s-ʔaɬ-k’iɬ-txʷumat-s c’ayx	
(47)	Hank Nater	gloss	who-3SG CONN-PRG-without-direction-3SG DEM	
(47)	Margaret Siwallace	transcription	ʔaɬ˽ta˽suɬ˽tχ	
(47)	Hank Nater	gloss	PREP˽ART˽village˽ART	
(47)	Hank Nater	translation	‘That she was the one who had strayed from the village.’	
(48)	Margaret Siwallace	transcription	ʔay-uc-s˽kʷ c’ayx	
(48)	Hank Nater	gloss	be.thus-mouth-3SG˽CL DEM	
(48)	Margaret Siwallace	transcription	s-ka˽nu-t’xʷ-als-m-aw	
(48)	Hank Nater	gloss	CONN-HYP˽inside-sweep-house-MED-3PL	
(48)	Margaret Siwallace	transcription	s-ka˽nu-ʔayaw-als-m-aw	
(48)	Hank Nater	gloss	CONN-HYP˽change-house-MED-3PL	
(48)	Margaret Siwallace	transcription	ʔal˽a˽ka˽pacaɬ s-ka˽ʔustxʷ-s ʔuɬ˽tχʷ	
(48)	Hank Nater	gloss	PREP˽ART˽HYP˽first CONN-HYP˽enter-3SG PREP˽DEM	
(48)	Hank Nater	translation	‘She told them to sweep and change [the sand in] the house before she would go in.’	
(49)	Margaret Siwallace	transcription	ʔay-na˽kʷʔiluc’ik s-nu-t’xʷ-als-m-aw	
(49)	Hank Nater	gloss	be.thus-3PL˽CL CONN-inside-sweep-house-MED-3PL	
(49)	Hank Nater	translation	‘And they did sweep the house.’	
(50)	Margaret Siwallace	transcription	ʔustxʷ-s	
(50)	Hank Nater	gloss	enter-3SG	
(50)	Hank Nater	translation	‘And she went inside.’	
(51)	Margaret Siwallace	transcription	“χl:χl-tu-ti-c wa˽mn:mnc-c˽alu˽ʔac	
(51)	Hank Nater	gloss	sent.REP-CAUS-3PL.OBJ-1SG.SUB ART˽children-1SG˽CL˽DEM	
(51)	Margaret Siwallace	transcription	ʔuɬ˽ʔinu s-ka˽k’x-tap x˽c”	
(51)	Hank Nater	gloss	PREP˽you CONN-HYP˽see-2PL.PASS PREP˽DEM	
(51)	Hank Nater	translation	“I sent my children to you for you to be seen by them.”	
(52)	Margaret Siwallace	transcription	“c’χɬn-tim˽kʷʔitk’ʷuk ʔaɬ˽ti˽mn:mnnta˽t’ayx si-ʔay-naw	
(52)	Hank Nater	gloss	kick-3PL.PASS˽CL PREP˽ART˽steps˽DEM CONN-be.thus-3PL	
(52)	Margaret Siwallace	transcription	s-lip’cut-aw ʔuɬ˽ʔnc”	
(52)	Hank Nater	gloss	CONN-return-3PL PREP˽ME	
(52)	Hank Nater	translation	“But they were kicked off these steps over and over, that is why they came back to me.”	
(53)	Margaret Siwallace	transcription	“ʔalac’-amk-cut-aw s-ʔaɬ-kʷn-ti-c˽ʔic’ik ʔuɬ˽ʔinu	
(53)	Hank Nater	gloss	tell-APP-REFL-3PL CONN-PRG-take-3PL.OBJ-1SG.SUB˽CL PREP˽YOU	
(53)	Margaret Siwallace	transcription	s-ka˽k’x-ti-xʷ”	
(53)	Hank Nater	gloss	CONN-HYP˽see-3PL.OBL-2SG.SUB	
(53)	Hank Nater	translation	“They told me what happened to them, so I brought them to you for you to see them.”	
(54)	Margaret Siwallace	transcription	cut-s˽kʷc’ ʔiɬ˽caacti˽ʔiɬ ʔuɬ˽ta˽man-s˽tχ	
(54)	Hank Nater	gloss	say-3SG˽CL ART˽young˽ART PREP˽ART˽father-3SG˽ART	
(54)	Hank Nater	translation	‘That’s what the young woman said to her father.’	
(55)	Margaret Siwallace	transcription	sk’ʷ-uuɬ-m-s˽kʷc’ ʔiɬaʔiɬ s-ka˽kʷƛ’-ti-s	
(55)	Hank Nater	gloss	untie-garment-MED-3SG˽CL DEM CONN-HYP˽place-3PL.OBJ-3SG.SUB	
(55)	Margaret Siwallace	transcription	tu˽mack’ʷ tu˽mn:mnc-s˽tχʷ ʔuɬ˽ta˽kʷuɬulmx˽tχ	
(55)	Hank Nater	gloss	ART˽frog ART˽children-3SG˽ART PREP˽ART˽ground˽ART	
(55)	Hank Nater	translation	‘Then she opened the blanket she was wearing, and placed her frog children on the ground.’	
(56)	Margaret Siwallace	transcription	xʷplχs t’aχ	
(56)	Hank Nater	gloss	end DEM	
(56)	Hank Nater	translation	‘That’s the end [of the story].’	
