where	who	kind	form	gloss
footnote 2	Vi Hilbert and Thom Hess	note	Similar to ?ə is the word ?al which introduces phrases of location and time. Often, ?ə replaces ?al in both of these, especially in phrases of location.
footnote 3	Vi Hilbert and Thom Hess	note	The term passive is not particularly appropriate for Lushootseed. More precisely, we mean those verbs that end with a transitive suffix plus {b}.
§IV	Vi Hilbert and Thom Hess	note	IV Phrases following benefactive verbs that express the item transferred:
11	Lushootseed	cited example	?utagʷyic tsi?iɬ ?ə ti?ə? x̌aw̓s qʷ(ə)ɬi?šəd.	She bought me a new (pair of) shoes.
12	Lushootseed	cited example	?uqadayic ti?iɬ ?ə ti x̌ʷubt.	He stole the paddle from me.
13	Lushootseed	cited example	?uɬilc tsi?iɬ sɬadəy? ?ə tə səpləl.	That woman gave me some bread.
§V	Vi Hilbert and Thom Hess	note	V Phrases expressing possessor:
14	Lushootseed	cited example	ti sqʷəbay? ?ə ti?iɬ stubš.	That man's dog. (The dog of that man.)
15	Lushootseed	cited example	tə səpləl ?ə tsi dsk̓ʷuy.	My mother's bread. (Bread of my mother.)
16	Lushootseed	cited example	ti sqʷəbay?s	his dog
17	Lushootseed	cited example	tə səpləls	her bread
§VI	Vi Hilbert and Thom Hess	note	VI Subordinate clauses expressing manner, means, (or sometimes location (instead of ?al). This is an extension of I.)
18	Lushootseed	cited example	?ukʷaxʷatəb ?ə tsi dsqa ?ə ti sut̓əqalikʷs.	My older sister helped with her (someone else's) bread-making.
19	Lushootseed	cited example	?ušudub ?ə tə sqʷəbay? ?ə ti su?igʷəɬs.	A dog saw it climb (the tree).
footnote 4	Vi Hilbert and Thom Hess	note	Here benefactive is a cover term designating verbs having the secondary suffix -yi- and verbs of giving like ɬil-. The action may be to one's detriment (cf. 12) as well as benefit.
footnote 4	Vi Hilbert and Thom Hess	note	It may well be that, from the Lushootseed point of view, phrases I, II, and IV state the same type of information and are grammatically equivalent. It would be interesting to compare the grammatical formations that related languages use to express these concepts. Do any other Salish languages convey all of these concepts with the same grammatical structures as does Lushootseed?
§4	Vi Hilbert and Thom Hess	note	Subordinate clauses have one characteristic that bears upon the problem, viz., the agent of the verb is expressed by the same affixes that denote possession. For third person that affix is the suffix -s; and like possessive constructions, the -s can be replaced by an ?ə phrase. (Compare (16) and (17) with (14) and (15).) Therefore, it is possible to make explicit who was helped with the bread-making in (18) and who (or what) climbed (the tree) in (19) by replacing -s with ?ə ... as in (20) and (21).
20	Lushootseed	cited example	?ukʷaxʷatəb ?ə tsi dsqa ?ə ti sut̓əqalikʷ ?ə tsi?iɬ sk̓ʷuyčəɬ.	My older sister helped our mother make (bread). (My older sister helped with the bread-making of our mother.)
21	Lushootseed	cited example	?ušudub ?ə tə sqʷəbay? ?ə ti su?igʷəɬ ?ə ti x̌a?x̌əlus.	A dog saw a raccoon climb (a tree). (A dog saw the climbing of a raccoon.)
§4	Vi Hilbert and Thom Hess	note	Sentence (9) can be expanded with this type of subordinate clause giving (22):
22	Lushootseed	cited example	?ukʷaxʷatəb ?ə tsi dsqa tsi?iɬ sk̓ʷuyčəɬ ?ə ti sut̓əqalikʷs.	My older sister helped our mother make (bread). (My older sister helped our mother with her bread-making.)
§4	Vi Hilbert and Thom Hess	note	Sentences (20) and (22) are synonymous, but in (20) tsi?iɬ sk̓ʷuyčəɬ our mother is patient in the independent clause while it is agent of the subordinate clause in (22).
§4	Vi Hilbert and Thom Hess	note	In most situations t̓əqalikʷ refers to making bread. (Literally, it means patterned or organized plastering, stroking - note stəqxʷ beaver, the animal that plasters its home with its tail.) Nevertheless, there are times when, either for clarity or style, we choose to mention səpləl bread (or flour) specifically as in sentence (8). Including mention of tə səpləl in (22) gives the following:
23	Lushootseed	cited example	?ukʷaxʷatəb ?ə tsi dsqa tsi?iɬ sk̓ʷuyčəɬ ?ə ti sut̓əqalikʷs ?ə tə səpləl.	My older sister helped our mother make bread.
§4	Vi Hilbert and Thom Hess	note	Contrasting (23) with (20) and (18) provides the explanation needed for the problem raised concerning the presence of -s in (2) and its absence in (1). (Subordinate clauses with dəxʷ- and s- pattern identically.)
15 display	Lushootseed	cited example	... ti sut̓əqalikʷš.	agent
15 display	Lushootseed	cited example	... ti sut̓əqalikʷ ?ə tsi?iɬ sk̓ʷuyčəɬ.	agent
15 display	Lushootseed	cited example	... ti sut̓əqalikʷs ?ə tə səpləl.	agent, patient
§5	Vi Hilbert and Thom Hess	note	The ?ə phrases are different; even though they look the same, they represent a different grammatical facet of the language. In (1) there is no agent of the verb in the subordinate clause, dəxʷx̌əbil so (they) become heavy; and ?ə ti?ə? this (these opponents in this case) is patient as in II. In (2) there is an agent expressed by -s as in VI and the following ?ə phrase is another subordinate clause expressing manner. It is treated grammatically much like II. (The -ad of gʷəƛ̓əlad stop is not a transitive suffix inspite of its similar shape to a large class of transitives.)
2 restated	Lushootseed	cited example	... dəxʷgʷəƛ̓əlads ?ə ti?ə? sudᶻigʷicuts.	... so they (-s) would stop their (-s) swaying back and forth.
23 restated	Lushootseed	cited example	... ti sut̓əqalikʷs ?ə tə səpləl.	... her (-s) baking bread.
§5	Vi Hilbert and Thom Hess	note	While it would seem easier to learn the single word ?ə in place of a variety of terms like for, with, of, by, etc. as in English, the many uses of ?ə constructions prove instead to be a stumbling block around which the teacher must carefully guide the student.
appendix I	Upper Chehalis	cited example	?it yúsmixʷ tat stiqíws ɬ t x̌íwič.	He worked his horse hard. p.134.35-38
appendix II	Upper Chehalis	cited example	?it ?ə́x̌m̓ɬ ɬ t swáwa?.	I saw a cougar. p.165.19
appendix II	Upper Chehalis	cited example	?it ƛ̓á·m̓ɬ t sx̣ʷás.	He looked for blackberries. p.164.17
appendix II	Upper Chehalis	cited example	?it sá·m̓ɬ t sác̓m̓ɬ.	He made a wedge. p.164.16
appendix III	Upper Chehalis	cited example	?it ƛ̓ə́x̣ʷtm čn ɬ tat cíčs.	I was stung by the bee.
appendix IV	Upper Chehalis	cited example	tit čáɬtuxʷt čn spatáln.	I gave him a rock. p.50.87-92
appendix V	Upper Chehalis	cited example	tit yə́mcišs tat qílitn	the fat of the elk, WO only
appendix I	Cowlitz	cited example	s?íɬann ɬ t qiy̓áluqʷs.	He's eating soup. J11.185
appendix I	Cowlitz	cited example	ƛ̓ə́x̣ɬ tit s?íɬani.	He ate fast. J12.76
appendix II	Cowlitz	cited example	sƛ̓ám̓ɬ t sə́x̣tkʷlx	looking for spirit power M5.145
appendix II	Cowlitz	cited example	sám̓ln ɬ t yax̣áw̓t.	He's making a fish trap. M4.155
appendix III	Cowlitz	cited example	?it t̓ə́k̓ʷtm ɬ t psáyq.	He got bitten by a mosquito. M9.56
appendix IV	Cowlitz	cited example	?it sášn kn ɬ t wíɬ.	I made a boat for him. J14.43
appendix IV	Cowlitz	cited example	?it yáy̓txʷc stúkʷali.	He told me his dream. J16.42
appendix V	Cowlitz	cited example	sčə́txʷn̓ ɬ k̓axʷó?	bear grease M4.289
